,3251
"yaniciannia station,wilcannia district, new s.wales, australia",1
"upper barron, atherton, queensland, australia",1
"kimberly district, australia",1
"bangladesh, india and south east asia",1
"tlaxcala, mexico",1
"borneo  (north), indonesia",1
"northern territory, australia",1
"dayboro, queensland, australia",1
"oldbyrock station,new s. wales, australia",1
"darling river, new south wales, australia",1
"kent, england",1
"berkeley, california, usa",1
"tully river, new south wales, australia",1
"bathhurst head, australia",1
"staarke river, australia",1
"palmer native police camp, australia",1
"bloomfield, australia",1
"paintree river, australia",1
"new south wales, australia",1
"chittagong hills , bangladesh, india",1
"lawlers, australia",1
colombia/ecuador,1
"irian jaya, indonesia",1
"crocodile island, australia",1
 mexico,1
sri lanka,1
"java, indonesia",1
"hain, la, usa",1
"barrington, nj, usa",1
"tianjin,",1
"sao paolo, brazil",1
"berlin, germany",1
"sao bernardo do campo, brazil",1
"chatham, nj, usa",1
"hillsville, va, usa",1
great britain (wales),1
"tulum, yucatan",1
"easton, pa",1
"portland, or, usa",1
"curitiba, parana, brazil",1
"ivory coast, africa",1
"georgia, usa",1
"rochester, new york, usa",1
"willboro, new york, usa",1
"virginia, usa",1
"potosi, missouri, usa",1
"cameron, arizona, usa",1
"shaba, zaire",1
"stoneham, maine, usa",1
"panther creek, co, usa",1
"keystone, south dakota, usa",1
"edgar, fl, usa",1
"eden mills, vt, usa",1
"clay spur, wy, usa",1
"bird creek, herschel, ontario, canada",1
"moreuci, az, usa",1
"hazlet, new jersey, usa",1
"brushy creek, mo, usa",1
"cobalt, ontario, canada",1
"madawaska, canada",1
"santa eulalia, mexico",1
"morenci, az, usa",1
"zacatecas, mexico",1
"winnemucca, nv, usa",1
"bimbowrie, south australia",1
"ouro preto, minas gerais, brazil",1
"cago....., brazil",1
"sta. luzia, minas gerais, brazil",1
"gonzales county, tx, usa",1
"warren county, ga, usa",1
"gadsen county, fl, usa",1
"crook county, wy, usa",1
"cusco, peru",1
"west chester, ohio, usa",1
"driebergen, holland",1
"zurich, switzerland",1
"kadane, czechoslovakia",1
"garnerville, ny, usa",1
"brisbane, australia",1
"st. paul island, labrador, canada",1
"emery county, ut, usa",1
"arkansas, usa",1
"harrisville, ny, usa",1
"quebec, canada",1
"culver city, ca, usa",1
"buffalo grove, il, usa",1
"wilmington, de, usa",1
"northridge, ca, usa",1
"santa ynez, ca, usa",1
"lancaster county, pa, usa",1
"messina, transvaal, usa",1
"boulder county, co, usa",1
"durango, mexico",1
"ray, az, usa",1
"butte, montana, usa",1
"keystone, sd, usa",1
"monterey, ca, usa",1
"galesburg, il, usa",1
"apeldoorn, the netherlands",1
"northvale, nj, usa",1
"damascus, syria",1
"piedmont, italy",1
"nicosia, cypress",1
"tamuin, mexico",1
"nakbe, guatemala",1
"seleucia, iraq",1
netherlands,1
mongolia,1
nepal,1
egypt,1
"fabriano, italy",1
"hagerstown, maryland",1
"otranto, italy",1
paris,1
new mexico,1
"elba, italy",1
"tuscany, italy",1
"badia, italy",1
german,1
adriatic,1
austria,1
bohemia,1
"albula pass, switzerland",1
"topanga, ca",1
"lorraine, france",1
britain,1
new york,1
arizona and northern mexico,1
central and south america,1
madagascar,1
sumatra,1
"bernino pass, switzerland",1
"ruegen, germany",1
"vincenza, italy",1
south pacific,1
tibet,1
"compton martin, somerset, england",1
"tivoli, latium, italy",1
"balmat, new york",1
"lone pine, inyo county, california",1
"louvre, paris, france",1
"santa eulalia, chihuahua, mexico",1
"republic, michigan",1
"hot springs, arkansas",1
"selasvann, norway",1
xunantunich,1
tihuanaku,1
wyoming,1
"laetoli, africa",1
indiana,1
getty center,1
"pitti palace, florence",1
"hastings county, ontario, canada",1
"bisbee, arizona",1
"morenci, arizona",1
"washington county, utah",1
"fremont county, colorado",1
ohio,1
"abydos, egypt, from a stelae",1
"walker, ohio",1
"paros, greece",1
"veria, greece",1
"island of skiros, greece",1
"naxos, greece",1
elba,1
misia,1
"punta marmorata, sardegna",1
troade,1
wadi maghra-biya,1
wadi barud,1
west germany,1
croatia,1
"ararat, armenia, u.s.s.r.",1
"pistoia, italy",1
"machan islands, phillipines",1
"pisa, italy",1
"vladivostok, ussr",1
"istanbul, turkey",1
"orange, france",1
"jerusalem, israel",1
"san rafael mine, nye co., nv",1
"clara mine, wolfach, badenwurttemberg, germany",1
"majuba hill, pershing co., nv",1
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: caledonia,1
state/country: bolivia; county: la paz dept.; town/area: corocoro; mine/site: n/a,1
state/country: bolivia; county: northwest territory; town/area: la paz dept.; mine/site: corocoro,1
state/country: new mexico; county: grant; town/area: n/a; mine/site: copper rose,1
state/country: wisconsin; county: douglas; town/area: n/a; mine/site: weyerhauser,1
state/country: arizona; county: mojave; town/area: n/a; mine/site: emerald isle mine,1
"state/country: michigan; county: ontonagon; town/area: n/a; mine/site: old indiana mine complex, first",1
state/country: michigan; county: houghton; town/area: kearsage; mine/site: n/a,1
"state/country: michigan; county: ontonagon; town/area: n/a; mine/site: white pine, unit #96",1
state/country: michigan; county: houghton; town/area: painesdale; mine/site: champion smelter,1
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: white pine mine,1
state/country: michigan; county: houghton; town/area: n/a; mine/site: champion mine smelter,1
state/country: minnesota; county: st. louis; town/area: n/a; mine/site: sucker river,1
state/country: michigan; county: houghton; town/area: kenton; mine/site: n/a,1
state/country: michigan; county: keweenaw; town/area: n/a; mine/site: point prospect copper vein,1
state/country: michigan; county: houghton; town/area: painesdale; mine/site: champion mine smelter,1
state/country: michigan; county: keweenaw; town/area: along eagle river o; mine/site: unnamed,1
state/country: arizona; county: pinal; town/area: ray; mine/site: kennecott,1
state/country: arizona; county: pinal; town/area: n/a; mine/site: ray,1
state/country: wisconsin; county: douglas; town/area: n/a; mine/site: old percival,1
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: algomah,1
state/country: arizona; county: pinal; town/area: tiger; mine/site: san manuel,1
state/country: michigan; county: houghton; town/area: keweenaw; mine/site: n/a,1
state/country: mexico; county: zacatecas; town/area: veta grande; mine/site: dolores,1
state/country: canada; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: mexico; county: chihuahua; town/area: batopilas; mine/site: nevada,1
state/country: michigan; county: houghton; town/area: calumet; mine/site: red jacket shaft,1
state/country: canada; county: british columbia; town/area: n/a; mine/site: n/a,1
"state/country: nevada; county: washoe; town/area: olinghouse district; mine/site: 6030 bench, 813 pit",1
state/country: michigan; county: marquette; town/area: near ishpeming; mine/site: michigan gold mine #6,1
state/country: michigan; county: marquette; town/area: n of dead river basin; mine/site: gold bluff prospect,1
"state/country: alaska; county: nome; town/area: nome; mine/site: offshore beach deposit vacuumed, panned from salted ore",1
state/country: california; county: mariposa; town/area: mariposa; mine/site: diltz,1
state/country: oregon; county: josephine; town/area: wolf creek; mine/site: oro grande,1
state/country: nevada; county: nye; town/area: manhattan; mine/site: n/a,1
state/country: russia; county: kazakhstan; town/area: n/a; mine/site: n/a,1
state/country: russia; county: transbaikal; town/area: n/a; mine/site: n/a,1
state/country: california; county: trinity; town/area: denny; mine/site: lower new river,1
state/country: australia; county: palawan; town/area: n/a; mine/site: n/a,1
state/country: california; county: sonoma; town/area: mt. jackson; mine/site:,1
state/country: russia; county: east siberia; town/area: taymer peninsula; mine/site: khungtukun massif,1
state/country: oregon; county: choco; town/area: atrato river; mine/site: n/a,1
state/country: new caledonia; county: n/a; town/area: naumea; mine/site: n/a,1
state/country: russia; county: ural mtns.; town/area: nevjansk; mine/site: n/a,1
state/country: alaska; county: n/a; town/area: goodnews bay; mine/site: bear creek,1
state/country: colombia; county: choco; town/area: atrato river; mine/site: n/a,1
state/country: russia; county: donets region; town/area: zachativsk station; mine/site: n/a,1
state/country: canada; county: british columbia; town/area: vancouver island; mine/site: port alberni,1
state/country: mexico; county: chihuahua; town/area: arechuryo; mine/site: n/a,1
state/country: ukraine; county: n/a; town/area: kiev; mine/site: trebukhov,1
state/country: connecticut; county: fairfield; town/area: monroe; mine/site: lanes,1
state/country: sierra leon; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: canada; county: northwest territory; town/area: n/a; mine/site: ekati,1
state/country: montana; county: beaverhead; town/area: dillon; mine/site: n/a,1
state/country: california; county: los angeles; town/area: green valley; mine/site: san fransquito,1
state/country: michigan; county: humboldt; town/area: humboldt; mine/site: bessie,1
state/country: california; county: ventura; town/area: n/a; mine/site: n/a,1
state/country: poland; county: n/a; town/area: tarnobreg; mine/site: machow,1
state/country: new mexico; county: cibola; town/area: grants ; mine/site: n/a,1
state/country: mexico; county: sonora; town/area: n/a; mine/site: moctezuma,1
state/country: michigan; county: houghton; town/area: n/a; mine/site: isle royale,1
state/country: czechoslovakia; county: bohemia; town/area: pribram; mine/site: kuber schacht,1
"state/country: michigan; county: houghton; town/area: houghton; mine/site: fissure vein, isle royal",1
state/country: australia; county: tasmania; town/area: hercules; mine/site: n/a,1
state/country: michigan; county: houghton; town/area: baltic; mine/site: n/a,1
state/country: montana; county: silver bow; town/area: butte; mine/site: leonard,1
state/country: arizona; county: la paz; town/area: near quartzite; mine/site: dome rock mts.,1
state/country: mexico; county: chihuahua; town/area: santa eulalia; mine/site: ingleterra,1
state/country: mexico; county: oaxaca; town/area: n/a; mine/site: cerro del cubilata,1
state/country: oregon; county: baker; town/area: cornucopia; mine/site: n/a,1
state/country: canada; county: ontario; town/area: sudbury; mine/site: n/a,1
state/country: colorado; county: rio grande ; town/area: summitville; mine/site: n/a,1
state/country: colorado; county: boulder; town/area: n/a; mine/site: herald,1
state/country: arizona; county: cochise; town/area: n/a; mine/site: san juan,1
state/country: kansas; county: cherokee; town/area: baxter springs; mine/site: ballard,1
state/country: tennessee; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: russia; county: krebet sikote-alin; town/area: dainegorskoe; mine/site: n/a,1
state/country: north carolina; county: n/a; town/area: hot springs; mine/site: n/a,1
"state/country: arizona; county: cochise; town/area: bisbee; mine/site: queen, slope 38",1
state/country: missouri; county: jasper; town/area: joplin; mine/site: n/a,1
state/country: north carolina; county: mitchell; town/area: hot springs; mine/site: n/a,1
"state/country: utah; county: n/a; town/area: frisco; mine/site: hornsilver, 850 foot level",1
state/country: colorado; county: mineral; town/area: creede; mine/site: commodore,1
state/country: canada; county: british columbia; town/area: salmo mining district; mine/site: hb mine,1
state/country: michigan; county: eaton; town/area: bellvue; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: nw of ishpeming; mine/site: mpc prospect,1
state/country: arizona; county: pinal; town/area: superior; mine/site: silver king,1
state/country: canada; county: ontario; town/area: temiskaming; mine/site: temiskaming cobalt,1
state/country: australia; county: tasmania; town/area: queenstown; mine/site: mt. lyell,1
state/country: minnesota; county: st. louis; town/area: ely; mine/site: n/a,1
"state/country: wisconsin; county: rusk; town/area: ladysmith; mine/site: flambeau 406, 7 marker 1000'",1
state/country: michigan; county: marquette; town/area: marquette range; mine/site: cliff's shaft (iron mine),1
state/country: taiwan; county: n/a; town/area: gin gwa shi; mine/site: n/a,1
state/country: pennsylvania; county: lehigh; town/area: friedensville; mine/site: uberoth,1
state/country: poland; county: n/a; town/area: olkusz; mine/site: n/a,1
state/country: peru; county: lima department; town/area: huarochiri province; mine/site: casapalca district,1
state/country: iowa; county: lee; town/area: keokuk; mine/site: n/a,1
state/country: canada; county: ontario; town/area: cobalt; mine/site: nipissing,1
state/country: japan; county: honshu; town/area: hyogo; mine/site: nakaze,1
state/country: california; county: del norte; town/area: alta; mine/site: n/a,1
state/country: russia; county: primorsky kraj; town/area: dainegorsk; mine/site: trona pinnacles,1
state/country: north dakota; county: bowman; town/area: n/a; mine/site: brummitts creek,1
state/country: canada; county: saskachewan; town/area: beaverlodge; mine/site: ace fay 29th level,1
state/country: australia; county: tasmania; town/area: zeehan; mine/site: n/a,1
"state/country: california; county: los angeles; town/area: catalina island; mine/site: cherry cove, boy scout camp",1
state/country: colorado; county: lake; town/area: leadville district; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: n/a; mine/site: antonio preine,1
state/country: australia; county: tasmania; town/area: cradle mtn.; mine/site: hellyer,1
state/country: colorado; county: summit; town/area: montezuma; mine/site: sullivan mtn.,1
state/country: spain; county: ciudad real; town/area: almaden; mine/site: n/a,1
state/country: nevada; county: pershing; town/area: n/a; mine/site: leo clark,1
state/country: china ?; county: hunan; town/area: n/a; mine/site: n/a,1
state/country: kirghizia; county: n/a; town/area: khaidarkan; mine/site: n/a,1
state/country: china; county: hunan; town/area: tsiatien; mine/site: n/a,1
state/country: zaire; county: shaba; town/area: kolwezi; mine/site: kamoto pit,1
state/country: congo; county: katenga; town/area: kambove; mine/site: kamfundwa,1
state/country: russia; county: kurily; town/area: iturup island; mine/site: volcano kudryaviy,1
state/country: california; county: kern; town/area: kernville; mine/site: big blue,1
state/country: california; county: san benito; town/area: stayton district; mine/site: quien sabe,1
state/country: china; county: hunan; town/area: leva shui jiang; mine/site: xi kuangshan mine,1
state/country: romania; county: m aramures; town/area: herja (kisbanya); mine/site: n/a,1
state/country: michigan; county: marquette; town/area: dead river storage basin; mine/site: gold bluff prospect,1
state/country: england; county: cumbria; town/area: caldbeck fells; mine/site: carrock,1
state/country: california; county: calaveras; town/area: garnet hill; mine/site: north west tungsten,1
state/country: australia; county: queensland; town/area: wolfram  camp; mine/site: n/a,1
state/country: wisconsin; county: n/a; town/area: middle inlet ; mine/site: middle inlet molybdenum prospect,1
state/country: poland; county: n/a; town/area: machov; mine/site: jeziorko,1
state/country: texas; county: dallas; town/area: love field; mine/site: n/a,1
state/country: russia; county: caucasus; town/area: madneuli; mine/site: n/a,1
state/country: australia; county: tasmania; town/area: ; mine/site: renison,1
state/country: colorado; county: san juan; town/area: silverton; mine/site: old 100,1
"state/country: peru; county: huanuco dept.; town/area: dos de mayo province; mine/site: huallanca district, huanzala mine",1
state/country: california; county: ventura; town/area: simi valley freeway; mine/site: site now covered by concrete,1
"state/country: brazil; county: minas gerias; town/area: n/a; mine/site: mina de ouro, opened 1883",1
state/country: kansas; county: logan; town/area: n/a; mine/site: n/a,1
state/country: california; county: santa cruz; town/area: n/a; mine/site: santa cruz limestone,1
state/country: germany; county: saxony; town/area: eisenharter; mine/site: n/a,1
state/country: wisconsin; county: racine; town/area: racine; mine/site: n/a,1
state/country: england; county: dorset; town/area: chermouth; mine/site: n/a,1
state/country: france; county: n/a; town/area: rens?; mine/site: n/a,1
"state/country: michigan; county: dickinson; town/area: n/a; mine/site: groveland, se wall, upper bench",1
state/country: illinois; county: randolph; town/area: n/a; mine/site: herrin #6 coal,1
state/country: california; county: amador; town/area: pardee reservoir; mine/site: gwyn,1
state/country: mexico; county: chihuahua; town/area: hidalgo de parral; mine/site: n/a,1
state/country: wisconsin; county: marinette; town/area: near niagara; mine/site: roadcut 1/2 mile from us 141 on hwy 8 towards norway,1
state/country: czechoslovakia; county: n. bratislava; town/area: zubaul; mine/site: perneki,1
state/country: south dakota; county: custer; town/area: n/a; mine/site: bob ingersoll,1
state/country: germany; county: saxony; town/area: schneeberg; mine/site: zschorlau,1
state/country: mexico; county: sonora; town/area: el cajon; mine/site: n/a,1
state/country: france; county: vosges; town/area: val d'ajol; mine/site: paymont,1
state/country: canada; county: british columbia; town/area: ; mine/site: mineral king,1
state/country: nevada; county: nye; town/area: money; mine/site: lower magnolia,1
state/country: idaho; county: coeur d'alene; town/area: kellogg; mine/site: sunshine,1
state/country: colorado; county: mineral; town/area: near creede; mine/site: gold bug mine,1
state/country: ireland; county: limerick; town/area: tipperary; mine/site: cortdrum,1
state/country: idaho; county: kootenai; town/area: coeur d'alene; mine/site: n/a,1
state/country: michigan; county: marquette; town/area: marquette; mine/site: near ishpeming,1
state/country: california; county: shasta; town/area: n/a; mine/site: n/a,1
"state/country: italy; county: tuscany; town/area: lucca, alpi apuaneo; mine/site: buca della vena",1
state/country: peru; county: pasco dept.; town/area: alcides carrion province; mine/site: cerro de pasco,1
state/country: germany; county: baden; town/area: wiesbach; mine/site: n/a,1
state/country: utah; county: tooele; town/area: n/a; mine/site: lookout pass,1
state/country: czechoslovakia; county: slovakia; town/area: krupina; mine/site: n/a,1
state/country: canada; county: british columbia; town/area: whistler; mine/site: van silver claims,1
state/country: romania; county: n/a; town/area: herja; mine/site: n/a,1
state/country: germany; county: schwarzwald; town/area: oberwolfach; mine/site: clara,1
state/country: nevada; county: lander; town/area: austin; mine/site: n/a,1
state/country: czech republic; county: n/a; town/area: barbora; mine/site: krupka,1
state/country: czechoslovakia; county: cechy (bohemia); town/area: srredocesky; mine/site: krupka,1
state/country: california; county: santa cruz; town/area: n/a; mine/site: kal kar quarry,1
state/country: sweden; county: n/a; town/area: dalama; mine/site: falun copper,1
state/country: sweden; county: n/a; town/area: narke; mine/site: veena ore field,1
state/country: idaho; county: cassia; town/area: raft river range; mine/site: n/a,1
state/country: bolivia; county: dept. of oruro; town/area: poopo; mine/site: n/a,1
state/country: bolivia; county: n/a; town/area: oruro; mine/site: san jose,1
state/country: switzerland; county: valais; town/area: binn valley; mine/site: langenbush quarry,1
state/country: washington; county: stevens; town/area: n/a; mine/site: cleveland,1
state/country: nevada; county: mineral; town/area: candelaria; mine/site: northern belle,1
state/country: germany; county: harz mtns.; town/area: wolfsberg; mine/site: n/a,1
state/country: france; county: hautes alpes; town/area: valgaudemar; mine/site: jas roux,1
state/country: washington; county: king; town/area: n/a; mine/site: damon and pythias,1
state/country: south dakota; county: pennington; town/area: n/a; mine/site: nickel plate,1
state/country: bolivia; county: dto. sud lipez; town/area: bonete county; mine/site: bolivar,1
state/country: bolivia; county: oruro; town/area: n/a; mine/site: itos,1
state/country: mexico; county: sonora; town/area: inglesia; mine/site: n/a,1
state/country: peru; county: n/a; town/area: orcopampa district; mine/site: n/a,1
state/country: idaho; county: boise; town/area: n/a; mine/site: banner,1
state/country: montana; county: jefferson; town/area: wickes; mine/site: gregory,1
state/country: canada; county: british columbia; town/area: wells; mine/site: caribou gold quartz,1
state/country: kirgizstan; county: n/a; town/area: hajdarkan; mine/site: n/a,1
state/country: kirghizia; county: n/a; town/area: khaidorkan; mine/site: n/a,1
state/country: peru; county: junin dept.; town/area: n/a; mine/site: quisque mine,1
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: yukspor mtn.,1
state/country: australia; county: new south wales; town/area: willyama township; mine/site: broken hill,1
state/country: california; county: inyo; town/area: minietta; mine/site: defense,1
state/country: texas; county: presidio; town/area: shafter; mine/site: n/a,1
state/country: kansas; county: reno; town/area: hutchinson; mine/site: n/a,1
state/country: california; county: inyo; town/area: death valley; mine/site: devil's golfcourse,1
state/country: new mexico; county: eddy; town/area: carlsbad; mine/site: waste isolation pilot plant,1
state/country: michigan; county: wayne; town/area: n/a; mine/site: n/a,1
state/country: california; county: inyo; town/area: death valley; mine/site: harmony works,1
state/country: tadzhikistan; county: tien-shan mts. ; town/area: ravat; mine/site: n/a,1
state/country: germany; county: thuringa; town/area: herringen werra; mine/site: n/a,1
state/country: spain; county: barcelona; town/area: salient; mine/site: n/a,1
state/country: new mexico; county: colfax; town/area: n/a; mine/site: point of rocks,1
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: koashiva,1
state/country: california; county: san mateo; town/area: redwood city; mine/site: n/a,1
state/country: namibia; county: ; town/area: karibib district; mine/site: n/a,1
state/country: new mexico; county: socorro; town/area: bingham; mine/site: blanchard- mill site area,1
"state/country: arizona; county: yuma; town/area: yuma; mine/site: dome mtn., kofa mts.",1
state/country: ohio; county: n/a; town/area: clay center; mine/site: n/a,1
state/country: arizona; county: yuma; town/area: yuma; mine/site: n/a,1
state/country: canada; county: british columbia; town/area: grand forks; mine/site: rock candy mtn.,1
state/country: canada; county: quebec; town/area: otter lake; mine/site: yates uranium,1
state/country: arizona; county: greenlee; town/area: duncan; mine/site: n/a,1
state/country: new jersey; county: n/a; town/area: kingston; mine/site: traprock industries,1
state/country: mexico; county: durango; town/area: mapimi; mine/site: ojuella,1
state/country: mexico; county: cohuila; town/area: baquillas del carmen; mine/site: santa anita,1
state/country: indiana; county: harrison; town/area: corydon; mine/site: n/a,1
state/country: wisconsin; county: door; town/area: sturgeon bay; mine/site: n/a,1
state/country: new hampshire; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: ohio; county: allen; town/area: bluffton; mine/site: bluffton quarry,1
state/country: wisconsin; county: marinette; town/area: niagara; mine/site: henry & rita kramer gold prospect,1
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: indiana (copper),1
state/country: canada; county: ontario; town/area: wilberforce; mine/site: fission (richardson),1
state/country: canada; county: ontario; town/area: dundas; mine/site: n/a,1
state/country: spain; county: asturias; town/area: solis; mine/site: moscora,1
state/country: myanmar; county: momeik; town/area: thabeikyln; mine/site: n/a,1
state/country: norway; county: tgsfjord; town/area: hundholmen; mine/site: n/a,1
state/country: michigan; county: keweenaw; town/area: lake superior; mine/site: near mouth of silver river,1
state/country: france; county: n/a; town/area: vonsante; mine/site: var,1
state/country: chile; county: n/a; town/area: chuquicamata.; mine/site: n/a,1
state/country: kirghizia; county: fergana valley; town/area: khaidarkan; mine/site: n/a,1
state/country: michigan; county: houghton; town/area: centennial; mine/site: centennial mine #2,1
state/country: germany; county: saxony; town/area: strassfurt; mine/site: n/a,1
state/country: greenland; county: frederickshaab; town/area: arsuk fjord; mine/site: ivigtuut (new spelling),1
state/country: colorado; county: boulder; town/area: n/a; mine/site: chancellor,1
state/country: nevada; county: nye; town/area: tonopah; mine/site: liberty,1
state/country: mexico; county: durango; town/area: abasolo; mine/site: mina navidad,1
state/country: greece; county: attiki; town/area: laurium; mine/site: n/a,1
state/country: greece; county: n/a; town/area: laurium; mine/site: n/a,1
state/country: england; county: somerset; town/area: mendip hills; mine/site: merehead quarry,1
state/country: nevada; county: humboldt; town/area: mcdermitt; mine/site: n/a,1
state/country: nevada; county: humboldt; town/area: mcdermitt; mine/site: mcdermitt,1
state/country: arizona; county: pinal; town/area: n/a; mine/site: ray mine,1
state/country: arizona; county: maricopa; town/area: n/a; mine/site: tonopah-belmont,1
state/country: mexico; county: sonora; town/area: tajitos; mine/site: el polmo,1
state/country: russia; county: pazir; town/area: kuhilal; mine/site: n/a,1
state/country: california; county: riverside; town/area: jurupa mtns.; mine/site: jenson,1
state/country: utah; county: iran; town/area: cedar city; mine/site: n/a,1
state/country: russia; county: n/a; town/area: ural mts. ; mine/site: n/a,1
state/country: california; county: tuolumne; town/area: jacksonville; mine/site: n/a,1
"state/country: morocco; county: n/a; town/area: owarzazate; mine/site: tachgagalt, vein #2",1
state/country: south africa; county: kalahari; town/area: n/a; mine/site: n'chawang 1 mine,1
state/country: morocco; county: owarzazate; town/area: tachgagalt; mine/site: n/a,1
state/country: germany; county: meurthe et moselle; town/area: castelberg; mine/site: n/a,1
state/country: germany; county: saxony; town/area: jungekalbe; mine/site: grube,1
state/country: algeria; county: constantine; town/area: guelma (60 km sw); mine/site: djebel haminate,1
state/country: utah; county: n/a; town/area: thomas range; mine/site: n/a,1
state/country: mexico; county: chihuahua; town/area: barranca del cobre; mine/site: n/a,1
state/country: india; county: mysore; town/area: n/a; mine/site: n/a,1
state/country: malawi; county: blantyre; town/area: singulani village; mine/site: n/a,1
state/country: canada; county: alberta; town/area: buffalo hills; mine/site: kimberlite k6,1
state/country: maine; county: n/a; town/area: cathane; mine/site: n/a,1
state/country: georgia; county: hartwell; town/area: n/a; mine/site: n/a,1
state/country: kenya; county: tsavo national park; town/area: n/a; mine/site: aqua,1
state/country: california; county: inyo; town/area: cerro gordo; mine/site: n/a,1
state/country: china; county: jiangxi province; town/area: dexin city; mine/site: n/a,1
state/country: michigan; county: republic; town/area: republic; mine/site: n/a,1
"state/country: michigan; county: marquette; town/area: champion; mine/site: champion iron mine, beacon hill",1
state/country: michigan; county: iron; town/area: n/a; mine/site: sherwood,1
state/country: michigan; county: marquette; town/area: n/a; mine/site: n/a,1
state/country: michigan; county: dickinson; town/area: felch; mine/site: metropolitan,1
state/country: new zealand; county: nelson; town/area: parapara; mine/site: golden bay,1
state/country: england; county: cumberland; town/area: egremont; mine/site: florence,1
state/country: new york; county: oneida; town/area: clinton; mine/site: n/a,1
state/country: italy; county: compania; town/area: napoli; mine/site: vesuvius,1
state/country: norway; county: telemark; town/area: kragoro; mine/site: n/a,1
state/country: norway; county: telemark; town/area: near bamie; mine/site: odegarden,1
state/country: norway; county: langesundfjord; town/area: bratthagen; mine/site: langendalen near larvik,1
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: kaskanunchorr mt.,1
state/country: russia; county: kola peninsula; town/area: khibina massif; mine/site: eveslogchorr mt.,1
state/country: russia; county: kola peninsula; town/area: n/a; mine/site: mt. karnasurt,1
state/country: russia; county: olekminsk; town/area: murun massif; mine/site: tausonitivaya gorka,1
state/country: mexico; county: sonora; town/area: el antimonio; mine/site: la fortuna,1
"state/country: italy; county: piedmont; town/area: st. marcel, aosta valley; mine/site: praborna",1
state/country: brazil; county: minas gerias; town/area: gov. valadares; mine/site: urbano,1
state/country: arkansas; county: hot spring; town/area: magnet cove; mine/site: diamond,1
state/country: new mexico; county: sierra; town/area: black range; mine/site: n/a,1
state/country: russia; county: evenkia; town/area: tura; mine/site: n/a,1
state/country: arizona; county: la paz; town/area: granite wash mtns.; mine/site: three musketeers,1
state/country: wisconsin; county: florence; town/area: florence; mine/site: badger iron mine,1
state/country: wisconsin; county: iron; town/area: n/a; mine/site: montreal,1
state/country: wisconsin; county: iron; town/area: montreal; mine/site: montreal,1
state/country: michigan; county: ontonagon; town/area: n/a; mine/site: old indiana copper mine,1
state/country: michigan; county: dickinson; town/area: quinnesec; mine/site: quarry,1
state/country: michigan; county: dickinson; town/area: pine creek; mine/site: rock dam gold prospect,1
"state/country: wisconsin; county: door; town/area: sturgeon bay, lake michigan; mine/site:",1
state/country: michigan; county: dickinson; town/area: randville; mine/site: pegmatite quarry,1
state/country: wisconsin; county: douglas; town/area: south range; mine/site: unnamed keweewanan age basalt quarry,1
state/country: brazil; county: minas gerias; town/area: badim; mine/site: n/a,1
state/country: brazil; county: minas gerias; town/area: n/a; mine/site: capao,1
state/country: brazil; county: minas gerias; town/area: teofilo ononi; mine/site: marambaia,1
state/country: colorado; county: ouray; town/area: ouray; mine/site: crystal cave,1
state/country: unknown; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: california; county: lake; town/area: clear lake; mine/site: n/a,1
state/country: utah; county: n/a; town/area: dugway; mine/site: n/a,1
state/country: brazil ?; county: bahia; town/area: n/a; mine/site: n/a,1
state/country: arkansas; county: garland; town/area: hot springs; mine/site: n/a,1
state/country: brazil; county: rio grande do sul; town/area: soledade; mine/site: n/a,1
state/country: california; county: n/a; town/area: n/a; mine/site: n/a,1
state/country: canada; county: ontario; town/area: thunder bay; mine/site: n/a,1
"state/country: minnesota; county: n/a; town/area: franklin; mine/site: outcrop, minnesota river valley",1
state/country: michigan; county: baraga; town/area: huron river; mine/site: 400' downstream big eric's bridge,1
state/country: arizona; county: n/a; town/area: n/a; mine/site: chinle formation,1
state/country: australia; county: victoria; town/area: melbourne; mine/site: n/a,1
state/country: england; county: dover; town/area: n/a; mine/site: white cliffs,1
state/country: north dakota; county: duan; town/area: n/a; mine/site: knife river,1
state/country: utah; county: grand; town/area: yellow cat; mine/site: n/a,1
state/country: california; county: san mateo; town/area: san gregorio beach; mine/site: n/a,1
state/country: wyoming; county: n/a; town/area: red desert; mine/site: green river formation,1
state/country: washington; county: king; town/area: denny mtn.; mine/site: n/a,1
state/country: california; county: inyo; town/area: little lake; mine/site: n/a,1
state/country: namibia; county: n/a; town/area: kalihari desert; mine/site: n/a,1
state/country: egypt; county: n/a; town/area: sakara (saqqara); mine/site: n/a,1
